SOUND "SE_bss4_06.mp3"
MOVE NORMAL "obj4", 1290.0f, 300.0f, 1070.0f, 300.0f, 1.0f
WAIT 1.0f
STAY "obj4", 1070.0f, 300.0f, 3.3f
WAIT 2.0f

MOVE NORMAL "obj5", 1030.0f, 470.0f, 10.0f, 60.0f, 2.198636f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 420.0f, 60.0f, 1.469966f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 830.0f, 60.0f, 0.91236f
WAIT 0.1f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 10.0f, 60.0f, 2.198636f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 420.0f, 60.0f, 1.469966f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 830.0f, 60.0f, 0.91236f
WAIT 0.1f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 10.0f, 60.0f, 2.198636f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 420.0f, 60.0f, 1.469966f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 830.0f, 60.0f, 0.91236f
WAIT 0.1f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 10.0f, 60.0f, 2.198636f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 420.0f, 60.0f, 1.469966f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 830.0f, 60.0f, 0.91236f
WAIT 0.1f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 10.0f, 60.0f, 2.198636f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 420.0f, 60.0f, 1.469966f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 830.0f, 60.0f, 0.91236f
WAIT 0.1f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 10.0f, 60.0f, 2.198636f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 420.0f, 60.0f, 1.469966f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 830.0f, 60.0f, 0.91236f
WAIT 0.1f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 10.0f, 60.0f, 2.198636f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 420.0f, 60.0f, 1.469966f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 830.0f, 60.0f, 0.91236f
WAIT 0.1f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 10.0f, 60.0f, 2.198636f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 420.0f, 60.0f, 1.469966f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 830.0f, 60.0f, 0.91236f
WAIT 0.1f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 10.0f, 60.0f, 2.198636f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 420.0f, 60.0f, 1.469966f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 830.0f, 60.0f, 0.91236f
WAIT 0.1f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 10.0f, 60.0f, 2.198636f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 420.0f, 60.0f, 1.469966f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 830.0f, 60.0f, 0.91236f
WAIT 0.1f

MOVE NORMAL "obj6", 1030.0f, 470.0f, 215.0f, 60.0f, 1.824637f
MOVE NORMAL "obj6", 1030.0f, 470.0f, 625.0f, 60.0f, 1.152606f
WAIT 0.1f
MOVE NORMAL "obj6", 1030.0f, 470.0f, 215.0f, 60.0f, 1.824637f
MOVE NORMAL "obj6", 1030.0f, 470.0f, 625.0f, 60.0f, 1.152606f
WAIT 0.1f
MOVE NORMAL "obj6", 1030.0f, 470.0f, 215.0f, 60.0f, 1.824637f
MOVE NORMAL "obj6", 1030.0f, 470.0f, 625.0f, 60.0f, 1.152606f
WAIT 0.1f
MOVE NORMAL "obj6", 1030.0f, 470.0f, 215.0f, 60.0f, 1.824637f
MOVE NORMAL "obj6", 1030.0f, 470.0f, 625.0f, 60.0f, 1.152606f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 10.0f, 60.0f, 2.198636f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 420.0f, 60.0f, 1.469966f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 830.0f, 60.0f, 0.91236f
WAIT 0.1f
MOVE NORMAL "obj6", 1030.0f, 470.0f, 215.0f, 60.0f, 1.824637f
MOVE NORMAL "obj6", 1030.0f, 470.0f, 625.0f, 60.0f, 1.152606f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 10.0f, 60.0f, 2.198636f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 420.0f, 60.0f, 1.469966f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 830.0f, 60.0f, 0.91236f
WAIT 0.1f
MOVE NORMAL "obj6", 1030.0f, 470.0f, 215.0f, 60.0f, 1.824637f
MOVE NORMAL "obj6", 1030.0f, 470.0f, 625.0f, 60.0f, 1.152606f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 10.0f, 60.0f, 2.198636f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 420.0f, 60.0f, 1.469966f
MOVE NORMAL "obj5", 1030.0f, 470.0f, 830.0f, 60.0f, 0.91236f
WAIT 0.1f
MOVE NORMAL "obj6", 1030.0f, 470.0f, 215.0f, 60.0f, 1.824637f
